conv1.conv.weight                                                      (64, 3, 7, 7)
conv1.bn.weight                                                        (64,)
conv1.bn.bias                                                          (64,)
conv1.bn.running_mean                                                  (64,)
conv1.bn.running_var                                                   (64,)
conv1.bn.num_batches_tracked                                           ()
conv2.0.conv1.conv.weight                                              (64, 64, 1, 1)
conv2.0.conv1.bn.weight                                                (64,)
conv2.0.conv1.bn.bias                                                  (64,)
conv2.0.conv1.bn.running_mean                                          (64,)
conv2.0.conv1.bn.running_var                                           (64,)
conv2.0.conv1.bn.num_batches_tracked                                   ()
conv2.0.conv2a.conv1.weight                                            (64, 64, 1, 1)
conv2.0.conv2a.conv2.weight                                            (64, 1, 3, 3)
conv2.0.conv2a.bn.weight                                               (64,)
conv2.0.conv2a.bn.bias                                                 (64,)
conv2.0.conv2a.bn.running_mean                                         (64,)
conv2.0.conv2a.bn.running_var                                          (64,)
conv2.0.conv2a.bn.num_batches_tracked                                  ()
conv2.0.conv2b.0.conv1.weight                                          (64, 64, 1, 1)
conv2.0.conv2b.0.conv2.weight                                          (64, 1, 3, 3)
conv2.0.conv2b.0.bn.weight                                             (64,)
conv2.0.conv2b.0.bn.bias                                               (64,)
conv2.0.conv2b.0.bn.running_mean                                       (64,)
conv2.0.conv2b.0.bn.running_var                                        (64,)
conv2.0.conv2b.0.bn.num_batches_tracked                                ()
conv2.0.conv2b.1.conv1.weight                                          (64, 64, 1, 1)
conv2.0.conv2b.1.conv2.weight                                          (64, 1, 3, 3)
conv2.0.conv2b.1.bn.weight                                             (64,)
conv2.0.conv2b.1.bn.bias                                               (64,)
conv2.0.conv2b.1.bn.running_mean                                       (64,)
conv2.0.conv2b.1.bn.running_var                                        (64,)
conv2.0.conv2b.1.bn.num_batches_tracked                                ()
conv2.0.conv2c.0.conv1.weight                                          (64, 64, 1, 1)
conv2.0.conv2c.0.conv2.weight                                          (64, 1, 3, 3)
conv2.0.conv2c.0.bn.weight                                             (64,)
conv2.0.conv2c.0.bn.bias                                               (64,)
conv2.0.conv2c.0.bn.running_mean                                       (64,)
conv2.0.conv2c.0.bn.running_var                                        (64,)
conv2.0.conv2c.0.bn.num_batches_tracked                                ()
conv2.0.conv2c.1.conv1.weight                                          (64, 64, 1, 1)
conv2.0.conv2c.1.conv2.weight                                          (64, 1, 3, 3)
conv2.0.conv2c.1.bn.weight                                             (64,)
conv2.0.conv2c.1.bn.bias                                               (64,)
